dt,FEX_004,FSB_095DR,FSB_078,FSB_126,FSB_130D,FPZ_06A,FSB_079,FPZ_04A,FSB_097D
2023-07-28 05:00:00.000,3.979691982269287,4.23164176940918,4.162818908691406,4.181471824645996,4.128810882568359,5.273175239562988,7.715748786926269,6.417294502258301,3.767150640487671
2023-07-28 06:00:00.000,3.980775594711304,4.23354959487915,4.163252830505371,4.181598663330078,4.129336357116699,5.274380207061768,7.713222503662109,6.418118476867676,3.767071723937988
2023-07-28 07:00:00.000,3.980825424194336,4.236442565917969,4.163039684295654,4.179048538208008,4.12993860244751,5.271059513092041,7.712299346923828,6.417948246002197,3.767076015472412
2023-07-28 08:00:00.000,3.981121301651001,4.236698627471924,4.166882514953613,,4.130378723144531,5.267786026000977,7.712221622467041,6.417734622955322,3.7672529220581055
2023-07-28 09:00:00.000,3.9812209606170654,4.239192962646484,4.168007850646973,,4.130503177642822,5.265711307525635,7.712381362915039,6.4179511070251465,3.7674248218536377
2023-07-28 10:00:00.000,3.9807443618774414,4.239560604095459,4.167698860168457,,4.131534576416016,5.262127876281738,7.7136616706848145,6.41734790802002,3.767599582672119
2023-07-28 11:00:00.000,3.981171131134033,4.239878177642822,4.170599937438965,,4.132225036621094,5.25929594039917,7.715625762939453,6.416830539703369,3.7673261165618896
2023-07-28 12:00:00.000,3.981380462646485,4.240606307983398,4.170594215393066,,4.131884574890137,5.256999492645264,7.716348648071289,6.416961669921875,3.7677700519561768
2023-07-28 13:00:00.000,3.982333660125733,4.242422103881836,4.174381256103516,,4.132148265838623,5.254260540008545,7.717992782592773,6.416274547576904,3.767944097518921
2023-07-28 14:00:00.000,3.9822919368743896,4.241087913513184,4.175073623657227,,4.133275508880615,5.252847671508789,7.718635559082031,6.416491985321045,3.7680299282073975
2023-07-28 15:00:00.000,3.981952667236328,4.242620468139648,4.17740535736084,,4.133048057556152,5.250814914703369,7.717875480651855,6.416060924530029,3.767769098281861
2023-07-28 16:00:00.000,3.98356294631958,4.243668556213379,4.176972389221191,,4.1335768699646,5.248751640319824,7.71663236618042,6.415847301483154,3.768118143081665
2023-07-28 17:00:00.000,3.98342537879944,4.243669033050537,4.173830986022949,,4.133913040161133,5.245026588439941,7.716829776763916,6.415980339050293,3.768549680709839
2023-07-28 18:00:00.000,3.9832468032836914,4.245891571044922,4.175932884216309,,4.134566307067871,5.243002414703369,7.715670585632324,6.415204048156738,3.768806219100952
2023-07-28 19:00:00.000,3.983771085739136,4.246603965759277,4.176967620849609,,4.135466575622559,5.238131523132324,7.71430778503418,6.415853500366211,3.7688193321228014
2023-07-28 20:00:00.000,3.985818862915039,4.246294975280762,4.178778648376465,,4.134693145751953,5.235970497131348,7.715148448944092,6.416116714477539,3.768903255462648
2023-07-28 21:00:00.000,3.985729932785034,4.247343063354492,4.17253303527832,,4.135251998901367,5.240146636962891,7.718479156494141,6.418276786804199,3.768646478652954
2023-07-28 22:00:00.000,3.9851560592651367,4.24658203125,4.174736499786377,,4.13646411895752,5.253985404968262,7.7185211181640625,6.418101787567139,3.7689015865325928
2023-07-28 23:00:00.000,3.9854753017425537,4.245408058166504,4.175845146179199,,4.1360273361206055,5.266539573669434,7.720320224761963,6.416896343231201,3.7689902782440186
2023-07-29 00:00:00.000,3.985072135925293,,4.175207138061523,,4.136843681335449,5.26766300201416,7.7226104736328125,6.416766166687012,3.768910646438599
2023-07-29 01:00:00.000,3.985936403274536,4.247866630554199,4.176672458648682,,4.137016296386719,5.270365715026856,7.724932193756103,6.416855812072754,3.768909215927124
2023-07-29 02:00:00.000,3.985553026199341,4.249689102172852,4.1793060302734375,,4.13814640045166,5.267760753631592,7.726417064666748,6.416683197021484,3.769158601760864
2023-07-29 03:00:00.000,3.984467744827272,4.24936056137085,4.17576789855957,,4.138407707214356,5.265505790710449,7.727137565612793,6.416900634765625,3.769333839416504
2023-07-29 04:00:00.000,3.985763311386109,4.2503275871276855,4.175463676452637,,4.1395263671875,5.267822265625,7.72597599029541,6.416815280914307,3.7693355083465576
2023-07-29 05:00:00.000,3.987199544906616,4.2504472732543945,4.177839279174805,,4.139403343200684,5.267208099365234,7.726057529449463,6.41685962677002,3.769420146942138
2023-07-29 06:00:00.000,3.9884226322174072,4.251497745513916,4.177791595458984,,4.139998435974121,5.26362419128418,7.723731517791748,6.417123794555664,3.7696032524108887
2023-07-29 07:00:00.000,3.98616099357605,4.253843307495117,4.176022529602051,,4.140877723693848,5.259149551391602,7.722203254699707,6.416908264160156,3.769854784011841
2023-07-29 08:00:00.000,3.9881691932678223,4.255051612854004,4.175415992736816,,4.141688346862793,5.25623083114624,7.724849224090576,6.416652679443359,3.7694251537323
2023-07-29 09:00:00.000,3.9868903160095215,4.256863594055176,4.175234794616699,,4.141997814178467,5.254247665405273,7.726972579956055,6.416566371917725,3.769240140914917
2023-07-29 10:00:00.000,3.988368511199951,4.257872581481934,4.175158500671387,,4.142940521240234,5.252607345581055,7.726653575897217,6.416871070861816,3.7694132328033447
2023-07-29 11:00:00.000,3.989158391952514,4.259806156158447,4.175162315368652,,4.143026351928711,5.250044345855713,7.727900505065918,6.416699409484863,3.769519805908203
2023-07-29 12:00:00.000,3.9865918159484863,4.260413646697998,4.17495059967041,,4.143805503845215,5.262718200683594,7.729063034057617,6.416825771331787,3.769425630569458
2023-07-29 13:00:00.000,3.9878454208374015,4.261424064636231,4.17465353012085,,4.145013809204102,5.261043071746826,7.727859497070312,6.416740894317627,3.769503593444824
