Date Time,Actual Conductivity (ÂµS/cm),Specific Conductivity (ÂµS/cm),Salinity (psu),Resistivity (â„¦-cm),Density (g/cmÂ³),Total Dissolved Solids (mg/L),pH (pH),pH MV (mV),ORP (mV),DO (mg/L),% Saturation Oâ‚‚ (% sat),Partial Pressure Oâ‚‚ (psi),Temperature (C),External Voltage (V),Pressure (psi),Depth (m),Level: Depth to Water (m),station_id,easting,northing
1671577200000.0,214.51861572265625,215.94032287597656,0.1142582818865776,4661.60009765625,0.9983643889427184,140.3612196445465,3.789865493774414,174.672607421875,480.8144836425781,6.564197540283203,71.19482421875,2.096266504074073,19.655298233032227,15.75,6.6162567138671875,4.84333140335083,9.55009846801758,FSB_130D,1383264.637,3875923.874
1671580800000.0,214.4848175048828,215.90379333496097,0.1142384335398674,4662.33447265625,0.998364269733429,140.33746719360352,3.78987193107605,174.672607421875,480.4091796875,6.567992210388184,71.28888702392578,2.0974924608001904,19.655902862548828,15.75,6.615677833557129,4.842940438842773,9.550504838562013,FSB_130D,1383264.637,3875923.874
1671584400000.0,214.45751953125,215.8830413818359,0.1142275631427764,4662.92822265625,0.9983645677566528,140.32398164272308,3.790243148803711,174.65115356445312,480.0706176757813,6.564071178436279,71.27995300292969,2.096183445874698,19.654281616210938,15.741000175476074,6.619543075561523,4.845658005523682,9.547787562561036,FSB_130D,1383264.637,3875923.874
1671588000000.0,214.43113708496097,215.85482788085935,0.1142122372984886,4663.501953125,0.9983644485473632,140.30563831329346,3.790161371231079,174.65591430664062,479.98004150390625,6.57131290435791,71.38346099853516,2.0985027317581273,19.654680252075195,15.732000350952148,6.618350028991699,4.844803406524658,9.548625883483886,FSB_130D,1383264.637,3875923.874
1671591600000.0,214.39202880859375,215.81459045410156,0.1141904592514038,4664.3525390625,0.9983643889427184,140.27948677539823,3.789990186691284,174.6654510498047,479.829833984375,6.573311805725098,71.40507507324219,2.0991418225568688,19.654888153076172,15.741000175476074,6.616786003112793,4.843703764343262,9.549725816345216,FSB_130D,1383264.637,3875923.874
1671595200000.0,214.3366851806641,215.7569580078125,0.1141592413187027,4665.55712890625,0.9983643293380736,140.24202525615692,3.790427446365357,174.6416015625,479.6271667480469,6.574820041656494,71.38594055175781,2.099640909392543,19.655353546142575,15.741000175476074,6.609525680541992,4.838576751708985,9.554830737304687,FSB_130D,1383264.637,3875923.874
1671598800000.0,214.3241271972656,215.7469787597656,0.1141539737582206,4665.830078125,0.9983644485473632,140.2355432510376,3.7901618480682377,174.65591430664062,479.2767028808594,6.5758442878723145,71.4012680053711,2.099942456389918,19.654712677001953,15.75,6.6127777099609375,4.840862658691407,9.55254366760254,FSB_130D,1383264.637,3875923.874
1671602400000.0,214.3111267089844,215.73605346679688,0.1141481772065162,4666.11328125,0.9983645677566528,140.22843539714813,3.790328741073608,174.64637756347656,479.0382690429687,6.572723865509033,71.35908508300781,2.09892790712331,19.65419006347656,15.741000175476074,6.6119489669799805,4.84028042678833,9.553126190185548,FSB_130D,1383264.637,3875923.874
1671606000000.0,214.27700805664065,215.69781494140625,0.114127330482006,4666.8564453125,0.9983643293380736,140.2035802602768,3.790035963058472,174.66307067871094,478.8523254394531,6.5753583908081055,71.43406677246094,2.099801714787425,19.655128479003903,15.741000175476074,6.61817741394043,4.844594407653809,9.548747969055176,FSB_130D,1383264.637,3875923.874
1671609600000.0,214.25648498535156,215.6785125732422,0.1141169592738151,4667.30322265625,0.9983643889427184,140.19103348255155,3.790421962738037,174.6416015625,478.8547058105469,6.57810115814209,71.40166473388672,2.100661212246674,19.654800415039062,15.741000175476074,6.607540130615234,4.837181197357178,9.556226582336429,FSB_130D,1383264.637,3875923.874
