Date Time,Actual Conductivity (ÂµS/cm),Specific Conductivity (ÂµS/cm),Salinity (psu),Resistivity (â„¦-cm),Density (g/cmÂ³),Total Dissolved Solids (mg/L),pH (pH),pH MV (mV),ORP (mV),DO (mg/L),% Saturation Oâ‚‚ (% sat),Partial Pressure Oâ‚‚ (psi),Temperature (C),External Voltage (V),Pressure (psi),Depth (m),Level: Depth to Water (m),station_id,easting,northing
1670616000000.0,622.1679077148438,640.01953125,0.3494722545146942,1607.283203125,0.9987645745277404,416.0126745700836,5.399968147277832,84.4573974609375,313.9540100097656,1.0829263925552368,11.569856643676758,0.3463907535871104,18.5396671295166,15.633000373840332,4.2721405029296875,3.1950904403686526,1.1581234954833983,FPZ_06A,1383393.777,3875752.544
1670619600000.0,622.12451171875,639.986328125,0.3494539856910705,1607.395263671875,0.9987647533416748,415.9910976886749,5.402222156524658,84.33580017089844,313.9897766113281,1.097533941268921,11.722173690795898,0.3508162213237786,18.538759231567383,15.651000022888184,4.270902633666992,3.194239910888672,1.1589938638687134,FPZ_06A,1383393.777,3875752.544
1670623200000.0,622.30810546875,640.1793212890625,0.3495633006095886,1606.9210205078125,0.9987648725509644,416.1165654659271,5.402486324310303,84.32150268554688,314.0613098144531,1.0802429914474487,11.536456108093262,0.3455689126205618,18.538433074951172,15.642000198364258,4.269283294677734,3.1930789352416995,1.160132311820984,FPZ_06A,1383393.777,3875752.544
1670626800000.0,622.6011962890625,640.4906616210938,0.3497397303581238,1606.16455078125,0.9987651705741882,416.3189232349396,5.40164041519165,84.3667984008789,314.0970764160156,1.04647696018219,11.180129051208496,0.3353202241987776,18.53765296936035,15.633000373840332,4.268270492553711,3.192341480255127,1.1608444776535034,FPZ_06A,1383393.777,3875752.544
1670630400000.0,622.932373046875,640.8533935546875,0.3499458730220794,1605.3106689453125,0.9987657070159912,416.554719209671,5.399327754974365,84.49077606201172,314.15191650390625,0.9944578409194946,10.626469612121582,0.3195288024836381,18.535900115966797,15.642000198364258,4.26995849609375,3.193559719848633,1.1596576314926148,FPZ_06A,1383393.777,3875752.544
1670634000000.0,623.3067626953125,641.2506103515625,0.3501710295677185,1604.346435546875,0.99876606464386,416.8128967285156,5.397196292877197,84.60521697998047,314.1852722167969,0.9417418241500854,10.0692777633667,0.3035319113063685,18.534942626953125,15.642000198364258,4.271956443786621,3.194978237915039,1.1582529933929444,FPZ_06A,1383393.777,3875752.544
1670637600000.0,623.6011352539062,641.5694580078125,0.3503519594669342,1603.589111328125,0.9987664222717284,417.0201718807221,5.394664764404297,84.74111938476562,314.2067565917969,0.8975632190704346,9.598228454589844,0.2901231387013568,18.533676147460938,15.642000198364258,4.272274017333984,3.1951962478637697,1.1580296785354616,FPZ_06A,1383393.777,3875752.544
1670641200000.0,623.5952758789062,641.5715942382812,0.3503535687923431,1603.604248046875,0.998766541481018,417.0215427875519,5.393642425537109,84.79595184326172,314.2138977050781,0.9141945838928224,9.77076244354248,0.2951647382096303,18.53302764892578,15.633000373840332,4.272224426269531,3.195169214630127,1.1580644874572754,FPZ_06A,1383393.777,3875752.544
1670644800000.0,624.190673828125,642.1815185546875,0.3506982922554016,1602.0745849609375,0.9987667798995972,417.4180030822754,5.389435768127441,85.02244567871094,314.2711181640625,0.8276827931404114,8.84419059753418,0.2689233631553051,18.53323554992676,15.633000373840332,4.274449348449707,3.1967243522644044,1.1565001934051515,FPZ_06A,1383393.777,3875752.544
1670648400000.0,627.4282836914062,645.4856567382812,0.3525653779506683,1593.8076171875,0.9987677931785583,419.56570744514465,5.379436492919922,85.561279296875,314.38555908203125,0.5418820381164551,5.790079593658447,0.182235719630519,18.53534507751465,15.668999671936035,4.285980224609375,3.204821241760254,1.14839327545166,FPZ_06A,1383393.777,3875752.544
1670652000000.0,628.9025268554688,646.9938354492188,0.3534178435802459,1590.071533203125,0.998768389225006,420.5459952354431,5.362342834472656,86.4815673828125,314.9434509277344,0.5113081336021423,5.4620537757873535,0.1729637764547569,18.5360164642334,15.633000373840332,4.300528526306152,3.2150610237121584,1.138164757347107,FPZ_06A,1383393.777,3875752.544
1670655600000.0,628.9776000976562,647.099609375,0.3534790575504303,1589.8817138671875,0.9987688064575196,420.6147491931915,5.351301193237305,87.07523345947266,314.1900634765625,0.3819104433059692,4.078475475311279,0.1337029548844964,18.533771514892575,15.642000198364258,4.311714172363281,3.2229358337402347,1.1303005571365357,FPZ_06A,1383393.777,3875752.544
