Date Time,Actual Conductivity (ÂµS/cm),Specific Conductivity (ÂµS/cm),Salinity (psu),Resistivity (â„¦-cm),Density (g/cmÂ³),Total Dissolved Solids (mg/L),pH (pH),pH MV (mV),ORP (mV),DO (mg/L),% Saturation Oâ‚‚ (% sat),Partial Pressure Oâ‚‚ (psi),Temperature (C),External Voltage (V),Pressure (psi),Depth (m),Level: Depth to Water (m),station_id,easting,northing
1696320000000.0,,,0.3290914297103882,,,392.9362893104553,8.308860778808594,-86.48634338378906,,,11.793914794921877,0.3380220130065918,,,,,,FSB_079,1383390.23,3875920.35
1696323600000.0,,,0.3291492164134979,,,393.0034339427948,8.309539794921875,-86.52687072753906,,,11.850512504577637,0.3396165312719421,,,,,,FSB_079,1383390.23,3875920.35
1696327200000.0,,,0.3292369544506073,,,393.1043148040771,8.308619499206543,-86.47203063964844,,,11.892915725708008,0.340678178815904,,,,,,FSB_079,1383390.23,3875920.35
1696330800000.0,,,0.3293129205703735,,,393.192321062088,8.308256149291992,-86.45057678222656,,,11.872922897338867,0.3400400838303877,,,,,,FSB_079,1383390.23,3875920.35
1696334400000.0,,,0.329378992319107,,,393.26831698417664,8.309380531311035,-86.517333984375,,,11.84043312072754,0.3390349763484335,,,,,,FSB_079,1383390.23,3875920.35
1696338000000.0,,,0.3294665813446045,,,393.36997270584106,8.307652473449707,-86.41481018066406,,,11.840543746948242,0.3388801827148741,,,,,,FSB_079,1383390.23,3875920.35
1696341600000.0,,,0.3295355439186096,,,393.44948530197144,8.306570053100586,-86.3504409790039,,,11.7850923538208,0.3373983019898838,,,,,,FSB_079,1383390.23,3875920.35
1696345200000.0,,,0.3296032845973968,,,393.52813363075256,8.30712890625,-86.38381958007812,,,11.710135459899902,0.3354271819155568,,,,,,FSB_079,1383390.23,3875920.35
1696348800000.0,,,0.3296933174133301,,,393.6312198638916,8.309340476989746,-86.51495361328125,,,11.709630012512209,0.3355994576035139,,,,,,FSB_079,1383390.23,3875920.35
1696352400000.0,,,0.3297691941261291,,,393.7194049358368,8.309736251831055,-86.53878784179688,,,11.764760971069336,0.3373022613366103,,,,,,FSB_079,1383390.23,3875920.35
